Date,United States(USD)
28-02-2013,1588.5
29-03-2013,1598.3
30-04-2013,1469.0
31-05-2013,1394.5
28-06-2013,1192.0
31-07-2013,1314.5
30-08-2013,1394.8
30-09-2013,1326.5
31-10-2013,1324.0
29-11-2013,1253.0
31-12-2013,1204.5
31-01-2014,1251.0
28-02-2014,1326.5
31-03-2014,1291.8
30-04-2014,1288.5
30-05-2014,1250.5
30-06-2014,1315.0
31-07-2014,1285.3
29-08-2014,1285.8
30-09-2014,1216.5
31-10-2014,1164.3
28-11-2014,1182.8
31-12-2014,1206.0
30-01-2015,1260.3
27-02-2015,1214.0
31-03-2015,1187.0
30-04-2015,1180.3
29-05-2015,1191.4
30-06-2015,1171.0
31-07-2015,1098.4
31-08-2015,1135.0
30-09-2015,1114.0
30-10-2015,1142.4
30-11-2015,1061.9
31-12-2015,1060.0
29-01-2016,1111.8
29-02-2016,1234.9
31-03-2016,1237.0
29-04-2016,1285.7
31-05-2016,1212.1
30-06-2016,1320.8
29-07-2016,1342.0
31-08-2016,1309.3
30-09-2016,1322.5
31-10-2016,1272.0
30-11-2016,1178.1
30-12-2016,1145.9
31-01-2017,1212.8
28-02-2017,1255.6
31-03-2017,1244.9
28-04-2017,1266.5
31-05-2017,1266.2
30-06-2017,1242.3
31-07-2017,1267.6
31-08-2017,1311.8
29-09-2017,1283.1
31-10-2017,1270.2
30-11-2017,1280.2
29-12-2017,1291.0
31-01-2018,1345.1
28-02-2018,1317.9
30-03-2018,1323.9
30-04-2018,1313.2
31-05-2018,1305.4
29-06-2018,1250.5
31-07-2018,1221.0
31-08-2018,1202.5
28-09-2018,1187.3
31-10-2018,1215.0
30-11-2018,1217.6
31-12-2018,1279.0
31-01-2019,1323.3
28-02-2019,1319.2
29-03-2019,1295.4
30-04-2019,1282.3
31-05-2019,1295.6
28-06-2019,1409.0
31-07-2019,1427.6
30-08-2019,1528.4
30-09-2019,1485.3
31-10-2019,1511.0
29-11-2019,1460.2
31-12-2019,1514.8
31-01-2020,1584.2
28-02-2020,1609.9
31-03-2020,1609.0
30-04-2020,1702.8
29-05-2020,1728.7
30-06-2020,1768.1
31-07-2020,1964.9
31-08-2020,1957.4
30-09-2020,1886.9
30-10-2020,1881.9
30-11-2020,1762.6
31-12-2020,1887.6
29-01-2021,1863.8
26-02-2021,1742.9
31-03-2021,1691.1
30-04-2021,1767.7
31-05-2021,1900.0
30-06-2021,1763.2
30-07-2021,1825.8
